title,PC3 (mM),PC3 s,PC9 (mM),PC9 s,XIAP (mM),XIAP symbol,SMAC (mM),SMAC s,APAF1 (mM),APAF1 s,CyC (mM),CyC s,Time (mins),MOMP (%),MOMP symbol,Model Version,Cells
HeLa,0.12,0.012,0.03,0.003,0.063,0.0063,0.126,0.0126,0.372,0.0372,10,0,30,100,0,3,10
HeLa,0.12,0.024,0.03,0.006,0.063,0.0124,0.126,0.0252,0.372,0.0744,10,0,30,100,0,3,10
HeLa,0.12,0.036,0.03,0.009,0.063,0.0189,0.126,0.0378,0.372,0.1116,10,0,30,100,0,3,10
HCT116,0.09,0.009,0.008,0.0008,0.075,0.0075,0.227,0.0227,0.47,0.047,10,0,30,100,0,3,10
HCT116,0.09,0.018,0.008,0.0016,0.075,0.015,0.227,0.0454,0.47,0.094,10,0,30,100,0,3,10
HCT116,0.09,0.027,0.008,0.0024,0.075,0.0225,0.277,0.0681,0.47,0.141,10,0,30,100,0,3,10
