Title	PC3 (mM)	PC3 s	PC9 (mM)	PC9 s	XIAP (mM)	XIAP symbol	SMAC (mM)	SMAC s	APAF1 (mM)	APAF1 s	CytC (mM)	CytC s	Time (mins)	MOMP (%)	MOMP symbol	Model Version	Cells
HeLa	0.12	0.012	0.03	0.009	0.063	0.0189	0.126	0.0378	0.372	0.1116	10	0	30	100	0	3	10
HeLa	0.12	0.024	0.03	0.018	0.063	0.0387	0.126	"0,0774"	0.372	0.2232	10	0	30	100	0	3	10
HeLa	0.12	0.036	0.03	0.027	0.063	0.0567	0.126	"0,1161"	0.372	0.384	10	0	30	100	0	3	10
HCT116	0.09	0.024	0.008	0.0024	0.075	0.0225	0.227	0.0681	0.47	0.141	10	0	30	100	0	3	10
HCT116	0.09	0.048	0.008	0.0048	0.075	0.045	0.227	0.01362	0.47	0.282	10	0	30	100	0	3	10
HCT116	0.09	0.072	0.008	0.0072	0.075	0.0675	0.227	0.2043	0.47	0.423	10	0	30	100	0	3	10
